DC MAR Geocoding - Alternate Street Spelling File,,
,,
Please read the Instructions sheet carefully before making changes to this file!,,
,,Entered by
FARRAUT,FARRAGUT,BXW
FARRGUT,FARRAGUT,ANW
FARRMONT,FAIRMONT,ANW
FARRUGAT,FARRAGUT,ANW
FARRUGUT,FARRAGUT,BC
FENDELL,FENDALL,RRR
FENNDALL,FENDALL,BXW
FFORT DUPONT,FORT DUPONT,BC
FGLAGLER,FLAGLER,BC
FIELD PLACENE,FIELD,LWG
FIFTEENTH,15TH,NHC
FIFTHTEENTH,15TH,NHC
FINRST,1ST,BXW
FITCH ST E,FITCH,BC
FLAGER,FLAGLER,LWG
FLAGGLER,FLAGLER,BC
FLANGLEY,LANGLEY,BC
FLORDA,FLORIDA,BC
FLORDIA,FLORIDA,ANW
FLORDIA AVFE,FLORIDA,ANW
FLORIDA ANE,FLORIDA,PAT
FLORIDIA,FLORIDA,ANW
FOOT,FOOTE,BXW
FORD TOTTEN,FORT TOTTEN,BC
FORRESSTER,FORRESTER,ANW
FORREST LNE,FOREST,ANW
FORRESTON,FORRESTER,BC
FORT BAKERS,FORT BAKER,BC
FORT DUPORT,FORT DUPONT,BXW
FORT STEVEN,FORT STEVENS,BC
FORT TEVENS,FORT STEVENS,BC
FORT TOTTENS,FORT TOTTEN,BC
FORT TOTTON,FORT TOTTEN,ANW
FORTE,FORT,ANW
FORTE DUPONT,FORT DUPONT,ANW
FORTSTEVEN,FORT STEVENS,BXW
FORTTOTEM,FORT TOTTEN,ANW
FORTY SIXTH,46TH,PAT
FOURTEENTH,14TH,BXW
FOURTEENTH ST AP,14TH,BC
FOURTH,4TH,BXW
FOUTH,4TH,BXW
FOX HALL,FOXHALL,ANW
FRAISER,FRASER,PAT
FRANKLIN STN ME,FRANKLIN,BC
FRANKLINE,FRANKLIN,EHG
FRANLKIN,FRANKLIN,ANW
FRARRAGUT,FARRAGUT,ANW
FRED DOUGLAS,FREDERICK DOUGLASS,BC
FREDERICK,FREDERICK DOUGLASS,BC
FREDERICK DOUGLAS,FREDERICK DOUGLASS,ANW
FREDERICK DOUGLAS CTSE,FREDERICK DOUGLASS,ANW
FREDERICK DOUGLAS PL S,FREDERICK DOUGLASS,BC
FREDRICK DIUG,FREDERICK DOUGLASS,BC
FREDRICK DOUG,FREDERICK DOUGLASS,BC
FREDRICK DOUGLAS,FREDERICK DOUGLASS,ANW
FRIST,1ST,BC
FRNAKLIN,FRANKLIN,BC
FRRANKLIN,FRANKLIN,ANW
FST,F,BC
FSTRRET,F,BC
FT BAKER,FORT BAKER,ANW
FT DAVIS,FORT DAVIS,ANW
FT DUPONT,FORT DUPONT,PAT
FT DUPONTST,FORT DUPONT,ANW
FT LINCOLN,FORT LINCOLN,MAG
FT STEVEN,FORT STEVENS,BXW
FT STEVENS,FORT STEVENS,BC
FT TOTTEN,FORT TOTTEN,BXW
FTSTEVENS,FORT STEVENS,BC
FTSTEVENSDR,FORT STEVENS,BC
FTTOTTEN,FORT TOTTEN,ANW
G ST REET,G,BC
GA,GEORGIA,BXW
GAAVE,GEORGIA,ANW
GAINES,GAINESVILLE,BC
GAINES ST,GAINESVILLE,BC
GAINESVILE,GAINESVILLE,ANW
GAINESVILL,GAINESVILLE,BC
GAINESVILLE ST,GAINESVILLE,PAT
GAINESVILLT,GAINESVILLE,BC
GAINEVILLE,GAINESVILLE,ANW
GAINSVILL,GAINESVILLE,BC
GAINSVILLE,GAINESVILLE,BC
GAINVILLE,GAINESVILLE,BC
GALE,GALES,BXW
GALEVESTON,GALVESTON,BC
GALLANTIN,GALLATIN,BXW
GALLAUDET UNIV,GALLAUDET,BC
GALLAUDETT,GALLAUDET,BC
GALLENS,GALEN,PAT
GALLIATIN,GALLATIN,ANW
GALLITIN,GALLATIN,ANW
GALLUDET,GALLAUDET,BXW
GALLVESTON,GALVESTON,BXW
GALVASTON,GALVESTON,BC
GALVENSTON,GALVESTON,ANW
GALVERSTON,GALVESTON,BC
GALVERTON,GALVESTON,BC
GALVESEON,GALVESTON,BC
GALVESION,GALVESTON,BC
GALVESTOR,GALVESTON,PAT
GANEVILLE,GAINESVILLE,ANW
GAULT PL NER,GAULT,BC
GAVELSTON,GALVESTON,BXW
GAYS,GAY,ANW
GEORGA,GEORGIA,BXW
GEORGE,GEORGIA,PAT
GEORGIE,GEORGIA,ANW
GEORIA,GEORGIA,LWG
GERARD,GIRARD,BC
GERGIA,GEORGIA,ANW
GEROGIA,GEORGIA,BXW
GERRGIA,GEORGIA,ANW
GIARD,GIRARD,BC
GIORGIA,GEORGIA,PAT
GIRAD,GIRARD,BC
GIRALD,GIRARD,MG
GIRAUD,GIRARD,ANW
GIRRAD,GIRARD,BC
GLAVESTON,GALVESTON,BXW
GOAL HOPE,GOOD HOPE,PAT
GOERGIA,GEORGIA,ANW
GONDON,GORMAN,BC
GOOD HOP,GOOD HOPE,MG
GOOD HOPERD,GOOD HOPE,BXW
GOODE HOPE,GOOD HOPE,BC
